file,num_paths,num_operations
openapi-directory/APIs/covid19-api.com/1.2.6/openapi.yaml,9,9
openapi-directory/APIs/authentiq.io/1.0/openapi.yaml,6,9
openapi-directory/APIs/tvmaze.com/1.0/openapi.yaml,25,42
openapi-directory/APIs/autodealerdata.com/1.0/openapi.yaml,34,35
openapi-directory/APIs/circleci.com/v1/openapi.yaml,17,22
openapi-directory/APIs/opendatanetwork.com/1.0.0/openapi.yaml,9,9
openapi-directory/APIs/hhs.gov/2/openapi.yaml,31,31
openapi-directory/APIs/mtaa-api.herokuapp.com/1.0/openapi.yaml,5,5
openapi-directory/APIs/iqualify.com/v1/openapi.yaml,74,84
openapi-directory/APIs/visualcrossing.com/weather/4.6/openapi.yaml,5,5
openapi-directory/APIs/facecheck.id/v1.02/openapi.yaml,4,4
openapi-directory/APIs/zenoti.com/1.0.0/openapi.yaml,0,0
openapi-directory/APIs/walmart.com/price/1.0.0/openapi.yaml,7,8
openapi-directory/APIs/walmart.com/inventory/1.0.0/openapi.yaml,5,7
openapi-directory/APIs/ebay.com/sell-listing/v1_beta.3.0/openapi.yaml,1,1
openapi-directory/APIs/ebay.com/commerce-catalog/v1_beta.5.0/openapi.yaml,2,2
openapi-directory/APIs/portfoliooptimizer.io/1.0.9/openapi.yaml,94,94
openapi-directory/APIs/ebay.com/sell-metadata/v1.6.0/openapi.yaml,8,8
openapi-directory/APIs/ebay.com/developer-analytics/v1_beta.0.0/openapi.yaml,2,2
openapi-directory/APIs/ebay.com/sell-negotiation/v1.1.0/openapi.yaml,2,2
openapi-directory/APIs/ebay.com/commerce-charity/v1.2.1/openapi.yaml,2,2
openapi-directory/APIs/svix.com/1.4/openapi.yaml,37,53
openapi-directory/APIs/ebay.com/buy-feed/v1_beta.34.0/openapi.yaml,4,4
openapi-directory/APIs/ebay.com/commerce-translation/1/openapi.yaml,1,1
openapi-directory/APIs/ebay.com/sell-compliance/1.4.1/openapi.yaml,3,3
openapi-directory/APIs/ebay.com/buy-marketing/v1_beta.2.0/openapi.yaml,1,1
openapi-directory/APIs/ebay.com/sell-recommendation/1.1.0/openapi.yaml,1,1
openapi-directory/APIs/ebay.com/sell-account/v1.9.0/openapi.yaml,24,36
openapi-directory/APIs/ebay.com/sell-fulfillment/v1.20.0/openapi.yaml,14,15
openapi-directory/APIs/ebay.com/sell-analytics/1.2.0/openapi.yaml,4,4
openapi-directory/APIs/ebay.com/buy-deal/v1.3.0/openapi.yaml,4,4
openapi-directory/APIs/ebay.com/sell-logistics/v1_beta.0.0/openapi.yaml,6,6
openapi-directory/APIs/ebay.com/sell-feed/v1.3.1/openapi.yaml,16,23
